"A101"	"A90"	"A264"	"A263"	"A274"	"A199"	"A114"	"A110"	"A136"	"A246"	"A44"	"A273"	"A248"	"A47"	"A286"	"A281"	"A117"	"A60"	"A218"	"A220"	"A45"	"A164"	"A184"	"A159"	"A203"	"A32"	"A235"	"A231"	"A250"	"A290"	"A76"	"A126"	"A219"	"A106"	"A229"	"A67"	"A112"	"A118"	"A111"	"A242"	"A245"	"A20"	"A89"	"A156"	"A236"	"A256"	"A178"	"A77"	"A198"	"A200"	"A02"	"A233"	"A271"	"A169"	"A302"	"A303"	"A59"	"A70"	"A74"	"A68"	"A07"	"A27"	"A99"	"A94"	"A88"	"A86"	"A87"	"A121"	"A132"	"A138"	"A149"	"A147"	"A143"	"A146"	"A145"	"A185"	"A180"	"A154"	"A174"	"A155"	"A166"	"A176"	"A182"	"A160"	"A177"	"A186"	"A190"	"A211"	"A195"	"A208"	"A205"	"A217"	"A189"	"A215"	"A188"	"A06"	"A40"	"A39"	"A36"	"A79"	"A05"	"A26"	"A15"	"A35"	"A238"	"A230"	"A23"	"A234"	"A240"	"A257"	"A260"	"A268"	"A251"	"A259"	"A275"	"A261"	"A292"	"A288"	"A279"	"A50"	"A280"	"A284"	"A301"	"A308"	"A224"	"A297"	"A304"	"A183"	"A202"	"A46"
"OTU_4390365"	3	62100	1157	4	2	3	23	1	5	22324	236	346	2	8	4	10	3	2	11702	4	20283	1640	2	2	5	2	1	2	0	8	1243	5	42	2	415	2	3	3820	1	2	4	1285	0	8432	2	1	12	5	0	2	4	38	0	8	1	3	6	5	4	2	685	5	1701	3	2	3	2	11421	1414	3	2	2	2	1	4	2	1	1	8528	2	0	0	0	2	10	1	2	18529	6	9	167	4	8	1518	6	5	3	6	2	10	11	6	4	0	4	3	6	4	0	1	1	4	1	1	0	2	8	4	5	4	75304	4	1	1	0	1	5709	1	2	6
"OTU_360238"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1509	0	1	0	0	0	0	0	0	0	0	1	0	0	2463	0	0	0	0	0	0	0	0	0	0
"OTU_587933"	0	24	0	0	0	0	9	0	0	0	1	22	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	6182	467	0	0	51	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	511	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	55	0	0	0	0	0	0	1	5	1	0	1	1	0	9	0	0	0	1	0	0	0	0	616	0	573	0	0	0	0	0	0	0	772	0	0	0	0	0	0
"OTU_592616"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	868	0	1	0	0	0	1	0	236	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	77	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU_191355"	0	0	0	0	0	124	46	0	0	0	0	8	0	0	0	0	0	0	0	0	498	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_360636"	0	0	0	0	0	3351	1055	0	0	1	0	139	0	2	0	2	0	1	1	1	12300	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	2	0	0	0	1	0	0	0	0
"OTU_1099710"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_339685"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1097113"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	16	0	1	3	0	112	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	1	0
"OTU_4476950"	0	78	1	0	0	22	1	1	0	0	1	115	1	0	0	0	48	0	0	0	16	17	0	0	33	0	0	22	0	0	0	1	10	0	130	0	0	1	7	1	17	0	0	2	0	145	0	0	0	8	0	0	3	0	0	15	20	0	17	0	0	0	2	12	0	7	0	0	0	0	27	7	0	20	0	0	5	0	4	0	3	2	8	1	0	0	0	0	1020	0	7	3	0	0	3	3	23	3	0	0	0	19	0	0	0	2	0	0	0	0	0	2	0	84	0	0	0	0	0	42	2	0	0	17	0	8	0	4	65	0
"OTU_494906"	0	0	0	0	0	35	0	1	0	0	1	1	1	0	0	0	7	0	2	0	4	28	0	0	2	6	0	3	0	0	0	1	8	0	0	0	10	0	31	0	1	3	2	0	2	540	124	1	0	0	60	0	2	1	0	0	0	0	1	0	10	0	1	0	0	0	0	0	0	0	15	0	0	8	0	0	0	0	1	0	3	0	0	9	0	15	0	5	0	2	0	1	0	0	1	0	0	0	1	0	1	5	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	12	1
"OTU_4429335"	0	19	1	0	0	12	0	5	0	0	0	9	1	0	6	0	50	0	0	0	1	2	0	0	6	0	0	1	0	0	0	0	0	0	1	3	0	1	43	2	0	0	2	0	13	19	0	5	6	13	1	0	3	1	0	8	0	0	0	0	17	0	1	5	0	0	0	0	0	0	2	1	0	4	0	0	1	11	1	0	19	1	3	11	0	0	0	19	1	0	1	1	0	0	1	37	8	3	0	0	0	10	0	0	3	4	0	0	0	0	0	1	1	4	53	0	0	0	0	20	0	251	0	1	0	8	0	0	0	0
"OTU_219439"	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	19	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	59	64	12	0	0	0	134	0	0	0	1	0	0	0	0	0	14	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	4	0	0	0	0	0	9	0	217	0	0	847	4	1	0	0	0	0	0
"OTU_4430952"	0	0	0	0	0	0	0	0	0	0	1	0	2	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	456	0	0	66	0	0	0	7	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	1378	0	0	0	0	0	0	0
"OTU_227343"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	722	0	0	0	0	0	0	0
"OTU_225088"	33	3	4	2	2	4	6	8	4	3	3	5	2	1	3	2	3	7	3	6	35	0	3	0	2	2	3	4	3	2	5	8	15	7	6	8	120	3	4	3	1	1	5	14	5	6	10	4	7	4	0	4	88	7	3	2	5	2	6	465	7	3	3	42	3	4	6	26	2	1	6	4	3	28	3	2	0	1	2	5	2	1	41	1	1	3	3	3	4	4	8	3	2	9	3	1	4	6	2	1	2	0	0	0	2	1	1	0	1	38	2	1	4	4	1	18	4	1	0	2	6	106	1	0	3	2	7	2	0	0
"OTU_845178"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	222	0	0	150	0	0	0	0	0	0	0
"OTU_4128270"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	0	0	0	1	39	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_4397471"	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	159	0	1	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_3799784"	2	0	0	1	2	12	9	1	49	17	4	8	0	6	7	10	0	1	23	89	4	0	0	0	4	11	0	0	2	3	2	11	0	9	2	68	38	17	0	14	4	2	38	14	49	1	0	0	20	0	51	36	62	7	8	0	16	14	14	0	4	14	14	81	4	5	0	13	36	24	4	18	11	0	0	70	8	276	18	42	4	12	2	35	0	30	5	21	2	2	0	2	0	0	0	44	15	92	4	6	14	3	2	4	13	0	0	0	3	8	6	14	1	5	9	0	2	24	5	14	8	10	27	14	13	0	0	1	0	0
"OTU_552376"	0	2	0	0	4	6	2	56	7	8	0	2	0	20	2	5	12	0	315	8	5	0	5	15	0	2	1	1	0	0	0	0	1	4	2	14	99	6	109	18	34	7	17	6	25	2	0	0	4	5	28	4	25	2	9	3	4	3	19	0	1	30	1	21	0	3	160	12	5	1	1	18	9	1	21	31	3	28	9	139	5	9	7	33	8	2	37	21	1	4	2	3	6	0	0	11	14	10	7	1	1	0	0	212	2	19	0	2	14	4	2	23	1	35	0	75	0	10	1	42	51	3	13	11	5	1	17	3	0	4
"OTU_656881"	46	59	3	2	206	418	271	2	1263	632	120	288	1	287	301	412	21	66	863	1618	86	0	21	0	64	427	4	1	1	24	31	384	2	301	92	1890	799	396	1	336	113	106	1190	403	1537	5	61	1	414	1	1743	1421	456	282	220	79	752	490	400	5	152	406	419	2195	150	178	4	512	697	641	174	494	277	4	6	1745	441	1587	283	1445	129	384	57	1301	30	1123	217	962	112	75	7	51	2	0	1	1410	374	616	137	140	112	68	27	157	452	15	9	3	55	415	198	631	93	272	418	3	123	830	221	94	381	305	982	344	257	15	5	1	0	0
"OTU_4351284"	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	1	2	0	0	11	0	0	0	0	0	0	1	0	0	19	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"OTU_3061119"	0	0	0	0	0	12	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	1	1	8	0	10	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	4	0	0	108	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
"OTU_103166"	0	0	0	0	0	0	0	6	1	0	0	1	31	10	1	2	0	0	93	1	0	0	0	3	0	0	4	6	0	0	0	0	0	0	0	0	40	0	12	16	12	3	5	1	3	0	2	0	1	1	2	0	1	1	6	8	0	1	4	1	0	1	0	2	0	0	4	3	0	0	0	3	1	5	32	1	0	3	1	27	2	2	31	0	3	0	1	4	1	2	1	2	2	0	0	0	0	7	4	0	0	5	0	0	0	2	2	2	0	1	0	0	1	4	0	108	0	0	0	84	17	3	1	9	3	0	32	0	0	115
"OTU_703635"	0	1	0	1	0	0	0	26	0	0	4	0	8	10	1	2	1	0	398	0	3	1	0	2	4	0	0	13	0	0	0	0	0	2	1	0	18	0	14	18	8	1	0	0	12	2	3	2	0	0	0	1	1	1	3	10	0	0	2	3	0	0	0	2	0	0	4	3	0	0	0	10	6	11	265	0	0	0	0	151	1	2	79	2	2	0	1	5	2	0	0	3	5	2	0	1	3	0	3	0	0	4	0	1	1	1	0	0	1	0	0	1	1	3	1	78	1	0	1	26	30	1	3	7	0	3	250	1	1	145
"OTU_114462"	18	4	0	82	48	6	22	601	0	45	32	35	123	301	5	497	63	2	57	0	262	86	532	625	5	4	1740	278	0	134	3	0	182	196	19	280	127	12	266	226	22	3	271	89	429	1307	235	55	9	26	193	0	489	0	3	181	83	284	20	1197	37	15	0	769	11	37	177	369	1	0	0	94	415	168	403	200	2	126	4	564	567	261	583	717	1133	9	14	754	124	133	196	533	409	39	32	217	26	619	69	31	51	164	16	33	2	200	4	451	1	22	2	36	52	4	90	57	2	107	0	48	5	172	319	103	703	4	439	529	32	467
"OTU_345540"	0	0	0	0	2	1	0	201	0	2	3	3	0	17	0	0	5	0	2	0	4	7	9	370	2	2	613	53	0	0	0	0	2	1	2	1	7	2	13	6	2	0	60	1	3	295	0	0	2	0	5	1	2	1	1	15	0	1	0	4	13	0	0	5	2	8	8	16	0	0	0	7	4	6	132	2	1	2	1	61	6	7	5	50	499	2	1	3	1	0	4	0	2	0	1	2	5	2	0	0	0	5	0	12	1	10	1	13	0	4	1	12	5	1	1	2	1	1	0	1	0	44	19	3	168	0	4	29	0	95
"OTU_134671"	0	0	1	30	1	0	1	22	0	8	1	2	72	46	0	23	4	0	9	0	21	46	49	12	0	0	87	19	1	7	0	0	72	25	4	13	19	0	27	58	7	0	7	10	80	17	147	15	4	1	8	0	134	0	3	40	7	22	0	48	6	2	0	39	1	0	18	43	0	0	0	7	41	15	7	12	0	9	0	104	71	57	105	61	157	1	1	39	34	7	96	97	86	38	21	8	2	164	13	1	29	20	19	1	0	221	0	208	0	0	0	1	11	0	5	3	2	6	0	26	1	54	13	4	9	0	30	296	59	4
"OTU_3441309"	0	2	0	17	4	2	10	67	0	8	6	4	24	47	1	150	7	0	8	0	60	13	121	83	0	0	174	50	0	34	1	0	41	48	2	63	5	1	62	41	6	0	23	7	77	90	72	19	1	3	29	0	110	0	0	16	15	48	0	185	5	2	0	179	0	6	51	89	0	0	0	22	62	27	41	28	0	17	0	105	138	45	130	161	80	1	0	150	31	23	41	118	94	9	9	42	7	150	13	7	8	30	5	4	2	43	1	77	0	2	0	5	4	2	17	20	0	21	0	10	1	26	48	10	43	0	91	108	4	41
"OTU_165489"	0	1	0	0	1	14	5	0	23	7	2	2	0	1	7	7	0	1	17	43	1	0	2	1	0	3	0	0	0	0	0	9	0	3	1	28	16	10	4	4	1	0	5	8	9	0	0	0	6	0	6	13	7	4	1	1	15	6	6	0	1	0	10	20	0	1	0	4	14	20	4	5	2	1	1	28	10	27	3	19	0	6	2	19	0	17	2	5	2	2	1	2	0	0	1	7	0	5	0	0	3	0	1	8	3	0	0	0	5	3	2	5	1	4	4	0	0	3	2	1	2	1	6	4	1	1	3	0	1	0
"OTU_258785"	0	1	0	1	0	1	1	2	3	3	2	1	1	10	1	6	2	0	123	5	4	3	6	4	0	0	10	3	0	0	0	1	3	0	0	3	18	0	10	8	2	1	4	4	11	2	2	1	0	1	2	2	4	0	1	4	4	7	6	4	0	2	1	27	0	0	6	9	5	1	0	5	10	1	50	10	0	8	5	52	5	4	16	12	10	5	1	25	4	1	3	5	4	2	1	3	5	12	0	0	1	2	1	3	0	8	0	4	2	1	1	1	0	7	1	17	1	7	1	10	22	3	1	3	3	0	37	7	0	15
"OTU_4343005"	2	0	0	0	3	9	2	0	5	135	3	4	1	14	42	8	0	2	86	12	0	0	0	148	2	8	0	0	104	0	1	1	0	3	3	75	20	18	0	12	1	2	250	22	157	0	0	0	6	0	287	1	12	0	5	0	48	23	19	0	5	46	4	280	6	6	1	17	0	1	0	27	9	0	1	242	1	146	5	90	0	5	0	42	0	20	2	45	1	0	0	1	1	0	0	67	19	32	2	7	1	0	3	2	16	0	0	0	0	88	1	99	7	50	11	0	1	136	1	4	18	13	69	14	12	0	1	0	1	0
"OTU_1108706"	0	0	0	0	1	0	0	0	0	20	1	1	0	0	3	1	0	0	8	7	1	0	0	20	0	1	0	0	13	0	0	0	0	2	0	5	3	4	0	0	0	0	32	4	17	0	0	0	2	0	24	2	6	0	2	1	6	0	0	1	1	1	2	19	0	1	0	3	0	0	0	3	2	0	2	25	0	16	1	8	0	1	0	1	0	4	0	3	0	0	0	2	0	0	0	3	3	4	0	1	0	0	0	1	2	0	0	1	0	10	0	23	3	8	1	0	1	15	1	0	2	2	11	3	2	0	1	0	0	0
"OTU_3610691"	357	546	0	0	0	0	0	0	0	0	0	59	0	305	2	1	854	0	40	407	82	0	0	0	0	2	0	0	0	0	5	0	0	0	542	12	0	0	0	0	0	4	0	0	1	0	1	0	59	334	21	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565	308	867	0	0	1	1	0	0	0	0	83	570	0	0	0	0	0	0	1	0	1	1	1	62	3	1679	0	0	0	0	1	0	0	0	0	203	0	0	0	0	2	1428	215	15	0	0	428	0	1	0	0	1
"OTU_564290"	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_274365"	0	0	0	0	0	0	0	0	0	0	0	1	0	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
"OTU_362505"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	150	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	20	0	0	0	2	0	0	3	0	0	56	0	0	0	0	0	0	0	3	0	62	0	0	0	0	0	0	0	0	0	3	0	7	0	1	0	0	0	0	0	2	0	0
"OTU_810831"	0	1	0	0	1	0	0	0	0	1	1	1	1	1	11	0	0	0	6	0	3	0	15	2	0	0	0	0	0	0	0	0	0	8	0	3	3	1	9	11	0	0	1	4	7	12	12	0	0	0	26	1	6	0	0	0	2	2	0	0	0	2	0	12	0	0	3	0	1	1	0	0	46	0	0	11	0	3	0	6	1	3	0	1	0	4	6	4	0	6	1	1	0	0	0	0	1	6	0	10	4	0	1	7	0	18	0	0	0	0	0	4	1	2	0	0	0	3	0	3	1	0	26	3	2	0	0	0	0	2
"OTU_688934"	1	9	1	1	104	13	84	0	0	326	61	62	0	284	91	235	6	1	117	1	80	1	20	8	0	2	1	2	0	15	1	0	1	209	50	899	284	36	0	208	38	3	28	213	1046	0	47	0	39	0	746	0	343	0	6	56	268	346	90	1	22	102	0	2393	0	59	1	503	0	0	1	240	312	1	0	894	0	449	2	836	98	269	31	814	0	47	28	939	79	73	4	76	2	1	0	738	51	720	96	91	70	85	20	3	15	20	1	0	0	8	0	27	39	42	193	1	0	438	0	68	10	110	540	164	33	4	1	1	0	0
"OTU_124309"	0	0	0	0	0	0	1	0	1	0	0	2	1	8	0	0	0	0	9	7	2	0	2	3152	1	0	4	1	68	0	0	0	1	1	0	8	2	0	0	1	0	0	4	4	9	0	0	0	0	1	5	0	3	2	0	2	1	6	0	1	0	1	0	25	0	0	1	2	2	1	0	3	0	0	3	11	0	2	0	7	0	1	1	6	0	1	0	12	1	3	3	2	3	0	0	2	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	5	0	4	1	0	3	0	0	0	3	2	0	0
"OTU_268101"	1	0	0	0	0	2	0	2	2	0	1	0	0	5	0	0	0	0	1	1	3	1	0	24	0	0	12	2	0	0	0	0	0	1	0	6	1	2	7	1	0	0	18	0	2	27	0	2	1	0	5	0	0	0	0	2	3	3	0	2	0	6	0	12	0	1	4	2	0	1	2	3	4	1	9	0	0	63	2	15	2	0	3	8	10	0	0	5	1	0	0	1	0	1	0	2	2	2	0	0	0	0	0	150	0	4	0	1	2	1	0	2	2	3	2	1	0	0	0	0	0	4	5	1	13	0	1	2	0	1
"OTU_281015"	2	0	0	1	1	1	1	3	5	2	1	3	0	37	0	1	0	0	7	2	4	1	2	1036	3	16	30	2	1	1	0	1	0	6	3	10	12	69	4	26	0	0	769	1	36	8	0	1	19	0	42	0	3	0	5	10	4	5	2	10	43	5	2	11	30	44	3	33	4	0	1	22	5	2	18	13	1	12	17	139	4	7	1	47	68	12	0	7	0	2	2	1	5	0	0	3	62	6	0	0	1	7	0	3	7	3	0	3	0	123	0	138	37	0	2	1	0	3	1	2	3	81	63	8	200	0	5	1	1	2
"OTU_924547"	2	1	0	1	0	1	0	4	1	0	0	1	0	8	1	1	0	1	3	3	0	0	1	204	0	2	4	0	0	0	0	1	0	0	0	5	0	1	1	1	0	0	7	2	0	1	0	0	0	35	2	3	0	0	0	6	1	2	0	3	1	2	3	11	0	2	0	3	0	3	1	2	2	2	18	2	1	6	1	90	0	3	1	3	4	2	1	7	1	2	5	1	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	19	0	0	0	2	0	1	0	0	0	5	0	5	0	39	0	0	0	0	2	2	0	0
"OTU_691423"	0	1	0	0	0	0	1	0	4	1	0	0	3	5	2	3	1	0	6	6	2	0	0	121	0	1	5	1	1	0	2	0	2	2	0	13	2	0	0	0	0	0	11	1	4	1	0	1	2	2	2	1	0	0	0	0	5	0	1	2	1	0	5	16	3	0	1	1	3	3	1	2	12	3	5	2	1	10	0	20	0	0	2	5	2	4	0	6	0	2	1	5	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	3	0	1	0	1	0	1	0	0	0	0	0	2	2	9	4	1	1	0	3	0	0	0
"OTU_4328189"	0	1	0	1	1	2	0	11	5	4	1	0	4	5	1	3	3	0	17	13	4	1	8	54	0	2	32	7	0	0	0	0	3	7	0	15	23	8	55	8	10	0	32	3	8	9	1	0	2	1	7	4	4	0	0	1	3	3	0	12	1	12	2	12	1	2	62	12	2	3	0	4	15	7	304	9	1	12	1	14	11	1	11	18	26	3	15	23	3	3	7	6	29	0	0	3	3	12	0	0	0	2	0	86	0	9	0	5	21	2	0	8	1	1	0	2	0	0	0	2	1	6	4	1	8	0	5	4	2	3
"OTU_329096"	0	3	0	0	0	9	1	0	7	9	2	10	0	725	488	0	56	3	2	42	0	0	0	34	2	1	1	0	87	1	3	2	0	2	2	19	26	4	1	3	2	0	14	6	10	0	0	1	68	0	166	10	8	3	0	13	61	4	5	3	7	139	2	37	4	2	1	1	8	9	2	5	1	1	0	63	3	50	1	389	0	6	0	42	1	24	3	8	2	1	3	0	5	0	0	9	2	18	0	1	3	0	0	2	3	0	0	1	1	8	1	14	0	2	2	0	0	11	0	176	3	77	7	2	11	0	1	0	0	0
"OTU_4416113"	0	1	5	6	6	13	0	0	11	9	0	12	2	15	2	2	0	10	13	55	7	0	0	17215	0	0	1	4	101787	2	0	1	2	1	1	8	9	0	1	1	1	0	6	51	5	8	1	1	12	0	3	1	6	3	1	0	6	2	3	2	1	1	5	3	3	4	0	0	6	3	3	5	4	1	6	13	3	22	3	5	0	2	2	7	2	27	3	11	0	2	0	3	2	1	1	1	0	3	1	0	0	1	0	0	0	1	0	2	0	7	8	6	3	6	7	4	1	6	2	2	1	1	5	2	0	0	3	2	0	1
"OTU_4417158"	0	0	0	0	0	9	4	0	2	1	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	98	1	1	0	1	0	0	0	1	0	0	0	0	0	10	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	1	0	0	1	0	0	1	0	0	77	1	0	0	2	0	0	2	1	1	2	12	1	0	0	0	0	31	0	0	0	0	2	0	0	0	0	0	16	0	0	0	0	30	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0
